Source	Cluster	RA_ICRS	DE_ICRS	Gmag	plx	e_plx
     49520255665123328	Hyades  	064.87461	+21.75372	12.861	20.866	 0.033
     49729231594420096	Hyades  	060.20378	+18.19388	 5.790	21.789	 0.045
     51383893515451392	Hyades  	059.80696	+20.42805	12.570	22.737	 0.006
    145373377272257664	Hyades  	066.06127	+21.73605	 6.990	23.109	 0.003
    145391484855481344	Hyades  	067.00371	+21.61972	 5.643	19.968	 0.067
    145325548516513280	Hyades  	065.84350	+21.37893	 8.639	19.878	 0.027
    145484629809228544	Hyades  	066.35475	+22.19980	 5.194	22.113	 0.094
    145293181643038336	Hyades  	066.57756	+21.47027	 7.224	20.667	 0.040
    145293181643038208	Hyades  	066.58044	+21.46875	15.087	20.940	 0.024
   3313778207594395392	Hyades  	066.81982	+17.24172	12.144	21.732	 0.022
   3313751441358252160	Hyades  	066.57982	+17.05048	16.365	21.093	 0.121
   3313842529024545664	Hyades  	065.85491	+16.77715	 5.564	20.520	 0.059
   3313947704182762240	Hyades  	066.09325	+17.07884	 6.839	19.595	 0.017
   3313759000500605056	Hyades  	066.25144	+16.98479	 9.968	18.257	 0.020
   3313978112552491136	Hyades  	066.02451	+17.44399	 4.724	21.674	 0.146
   3393284752392701312	Hyades  	074.93506	+15.91660	 6.627	22.461	 0.030
    147022541634235392	Hyades  	071.13217	+23.94088	14.230	19.547	 0.030
    147118233505518976	Hyades  	072.97271	+24.60989	15.845	20.973	 0.036
    147182172683187712	Hyades  	072.30451	+24.80261	 9.227	20.153	 0.016
    144512287869179136	Hyades  	066.97162	+20.98134	17.647	18.817	 0.045
    144377799556207488	Hyades  	068.40542	+21.15065	10.199	22.835	 0.014
    144338187075686016	Hyades  	068.12299	+20.73538	15.071	17.064	 0.099
   3238530414929634304	Hyades  	075.82986	+03.84038	15.589	21.598	 0.035
   3411274308810562688	Hyades  	069.27192	+20.71802	14.024	17.408	 0.044
     68001499939741440	Hyades  	053.20942	+23.69202	 8.635	23.765	 0.022
     67696694700442624	Hyades  	054.13098	+22.78229	12.979	25.758	 0.090
   3292227607891547264	Hyades  	069.77607	+07.87099	 5.308	20.305	 0.089
   3292367795624174720	Hyades  	070.43001	+08.43808	15.502	23.628	 0.079
   3292367795624174592	Hyades  	070.42948	+08.43925	14.102	23.559	 0.034
     64552022725337856	Hyades  	053.54486	+22.07240	14.610	28.054	 0.049
   3273807936268126464	Hyades  	059.81286	+06.22792	14.549	18.431	 0.046
   3306443434245315200	Hyades  	069.29168	+12.10546	14.828	19.556	 0.046
   3306634646189021440	Hyades  	068.96611	+12.25551	17.518	19.730	 0.007
   3306588707218380288	Hyades  	067.81745	+12.20008	14.404	22.056	 0.013
   3306483944376792832	Hyades  	069.53989	+12.51077	 4.188	22.867	 0.205
   3306592418070112384	Hyades  	068.18962	+12.06661	13.764	20.521	 0.020
    148867315986268672	Hyades  	065.48338	+23.41806	12.458	23.085	 0.017
    148792171240741120	Hyades  	065.32064	+23.19773	15.250	19.900	 0.041
    148946068508277888	Hyades  	064.54541	+23.28449	 9.160	18.443	 0.044
    149005270337201792	Hyades  	063.63521	+23.57474	 7.883	21.846	 0.023
     57083830512424448	Hyades  	055.22964	+19.49635	17.086	24.710	 0.044
     53942250914697472	Hyades  	062.15144	+23.76842	 9.190	21.064	 0.027
     53825771402706304	Hyades  	061.58812	+23.42405	13.124	23.513	 0.034
     49005581144118784	Hyades  	064.74208	+19.90654	 8.415	21.274	 0.015
     49124190961270656	Hyades  	065.41024	+20.30261	14.774	26.671	 0.043
     48977371798954368	Hyades  	064.76348	+19.54417	13.977	23.267	 0.063
   3293856362569126400	Hyades  	070.71766	+09.99639	14.369	16.953	 0.004
   3287450745264292864	Hyades  	066.40561	+08.59136	15.970	22.721	 0.105
   3287587771900733440	Hyades  	067.27415	+09.18246	15.239	16.943	 0.170
    144833998098820992	Hyades  	069.68130	+21.73712	15.141	22.953	 0.031
   3283285795218796800	Hyades  	065.26773	+03.26885	 9.148	26.943	 0.021
   3283238344419794304	Hyades  	064.68170	+03.25504	15.666	28.077	 0.013
   3283324415564687104	Hyades  	065.60495	+03.61903	12.793	27.722	 0.049
     65103668325506560	Hyades  	055.40450	+23.34353	12.757	24.007	 0.029
   3413223227530503168	Hyades  	073.19852	+22.64708	10.961	17.987	 0.116
   3413146914550583680	Hyades  	071.85949	+23.05074	10.303	18.202	 0.039
     47319961098840192	Hyades  	064.53806	+17.41613	14.729	21.777	 0.044
